step,phi,danger,altitude,wind_norm,pe
289,0.098839,0.9070,18.3570,0.7447,0.0000
290,0.098784,0.8992,18.3457,0.7368,0.0001
291,0.098943,0.8880,18.3343,0.7255,0.0000
292,0.099117,0.8735,18.3228,0.7109,0.0000
293,0.099301,0.8560,18.3113,0.6934,0.0000
294,0.099491,0.8358,18.2998,0.6730,0.0000
295,0.099683,0.8130,18.2882,0.6502,0.0000
296,0.099875,0.7881,18.2766,0.6252,0.0022
297,0.100049,0.7614,18.2650,0.5983,0.0000
298,0.100249,0.7332,18.2533,0.5701,0.0000
299,0.100422,0.7041,18.2416,0.5409,0.0000
300,0.100587,0.6744,18.2298,0.5111,0.0000
301,0.100744,0.6445,18.2180,0.4811,0.0000
302,0.100898,0.6148,18.2062,0.4514,0.0000
303,0.101041,0.5859,18.1943,0.4224,0.0000
304,0.101170,0.5581,18.1824,0.3945,0.0000
305,0.101285,0.5318,18.1704,0.3681,0.0000
306,0.101383,0.5075,18.1584,0.3436,0.0000
307,0.102543,0.4853,18.1464,0.3214,0.0000
308,0.103623,0.4657,18.1343,0.3018,0.0000
309,0.104620,0.4490,18.1222,0.2849,0.0000
310,0.105538,0.4354,18.1101,0.2712,0.0000
311,0.106376,0.4251,18.0979,0.2608,0.0000
312,0.107140,0.4182,18.0856,0.2538,0.0000
313,0.107836,0.4148,18.0734,0.2504,0.0000
314,0.108481,0.4151,18.0611,0.2505,0.0000
315,0.109068,0.4189,18.0487,0.2543,0.0001
316,0.109623,0.4263,18.0363,0.2615,0.0000
317,0.110331,0.4370,18.0239,0.2722,0.0000
318,0.110995,0.4511,18.0114,0.2862,0.0001
319,0.111617,0.4683,17.9989,0.3033,0.0000
320,0.112200,0.4882,17.9864,0.3231,0.0000
321,0.110649,0.5108,17.9738,0.3456,0.0000
322,0.108934,0.5355,17.9612,0.3702,0.0000
323,0.107019,0.5621,17.9485,0.3967,0.0000
324,0.104861,0.5902,17.9358,0.4247,0.0000
325,0.102409,0.6194,17.9231,0.4538,0.0000
326,0.100735,0.6492,17.9103,0.4835,0.0000
327,0.100631,0.6793,17.8975,0.5135,0.0000
328,0.100513,0.7092,17.8846,0.5433,0.0000
329,0.100380,0.7384,17.8717,0.5725,0.0000
330,0.100235,0.7666,17.8588,0.6006,0.0000
331,0.100079,0.7934,17.8458,0.6273,0.0000
332,0.099915,0.8184,17.8328,0.6521,0.0000
333,0.099746,0.8411,17.8198,0.6748,0.0000
334,0.099577,0.8614,17.8067,0.6949,0.0000
335,0.099413,0.8788,17.7935,0.7123,0.0000
336,0.099255,0.8932,17.7804,0.7265,0.0000
337,0.099083,0.9043,17.7672,0.7376,0.0000
338,0.099049,0.9120,17.7539,0.7452,0.0000
339,0.099022,0.9162,17.7406,0.7493,0.0000
340,0.099059,0.9168,17.7273,0.7498,0.0000
341,0.098870,0.9138,17.7139,0.7467,0.0000
342,0.098716,0.9073,17.7005,0.7400,0.0000
343,0.098865,0.8973,17.6871,0.7299,0.0001
344,0.099032,0.8840,17.6736,0.7165,0.0000
345,0.099214,0.8676,17.6601,0.7000,0.0000
346,0.099403,0.8483,17.6465,0.6806,0.0000
347,0.099597,0.8264,17.6329,0.6587,0.0001
348,0.099791,0.8022,17.6193,0.6344,0.0000
349,0.099983,0.7761,17.6056,0.6082,0.0000
350,0.100169,0.7485,17.5919,0.5804,0.0000
351,0.100347,0.7197,17.5781,0.5515,0.0000
352,0.100516,0.6901,17.5643,0.5218,0.0000
353,0.100676,0.6602,17.5505,0.4919,0.0000
354,0.100826,0.6305,17.5366,0.4620,0.0000
355,0.100965,0.6013,17.5227,0.4327,0.0000
356,0.101093,0.5731,17.5087,0.4044,0.0000
357,0.101208,0.5462,17.4948,0.3774,0.0000
358,0.101308,0.5211,17.4807,0.3522,0.0000
359,0.102472,0.4981,17.4667,0.3291,0.0000
360,0.103560,0.4776,17.4525,0.3085,0.0000
361,0.104574,0.4599,17.4384,0.2907,0.0000
362,0.105506,0.4451,17.4242,0.2758,0.0000
363,0.106359,0.4336,17.4100,0.2642,0.0000
364,0.107135,0.4255,17.3957,0.2559,0.0000
365,0.107842,0.4208,17.3814,0.2512,0.0000
366,0.108492,0.4198,17.3671,0.2501,0.0000
367,0.109089,0.4224,17.3527,0.2525,0.0000
368,0.109628,0.4285,17.3383,0.2585,0.0000
369,0.110286,0.4381,17.3238,0.2680,0.0000
370,0.110958,0.4510,17.3093,0.2808,0.0000
371,0.111589,0.4671,17.2948,0.2968,0.0000
372,0.112181,0.4861,17.2802,0.3157,0.0001
373,0.110639,0.5077,17.2656,0.3372,0.0000
374,0.108932,0.5317,17.2509,0.3611,0.0000
375,0.107024,0.5577,17.2362,0.3870,0.0001
376,0.104871,0.5853,17.2215,0.4145,0.0000
377,0.102424,0.6142,17.2067,0.4432,0.0000
378,0.100754,0.6438,17.1919,0.4728,0.0000
379,0.100654,0.6739,17.1770,0.5027,0.0000
380,0.100539,0.7039,17.1621,0.5326,0.0000
381,0.100410,0.7335,17.1472,0.5621,0.0000
382,0.100267,0.7621,17.1322,0.5906,0.0000
383,0.100113,0.7895,17.1172,0.6179,0.0000
384,0.099949,0.8151,17.1022,0.6434,0.0000
385,0.099779,0.8387,17.0871,0.6669,0.0000
386,0.099609,0.8599,17.0719,0.6880,0.0000
387,0.099440,0.8784,17.0568,0.7063,0.0000
388,0.099279,0.8939,17.0416,0.7218,0.0000
389,0.099101,0.9063,17.0263,0.7340,0.0000
