step,phi,danger,speed,slip,friction,pe
271,0.100852,0.6183,2.8415,0.4914,0.3500,0.0056
272,0.100861,0.6232,2.8519,0.5161,0.3500,0.0000
273,0.100851,0.6283,2.8624,0.5415,0.3500,0.0014
274,0.100847,0.6335,2.8729,0.5676,0.3500,0.0033
275,0.100853,0.6389,2.8833,0.5944,0.3500,0.0011
276,0.100844,0.6444,2.8938,0.6220,0.3500,0.0000
277,0.100843,0.6501,2.9043,0.6503,0.3500,0.0035
278,0.100853,0.6559,2.9147,0.6793,0.3500,0.0000
279,0.100837,0.6618,2.9252,0.7090,0.3500,0.0029
280,0.100843,0.6679,2.9356,0.7393,0.3500,0.0007
281,0.100825,0.6740,2.9461,0.7702,0.3500,0.0004
282,0.100788,0.6803,2.9566,0.8016,0.3500,0.0023
283,0.100815,0.6867,2.9670,0.8335,0.3500,0.0005
284,0.100878,0.6931,2.9775,0.8657,0.3500,0.0020
285,0.100917,0.6996,2.9879,0.8982,0.3500,0.0005
286,0.100948,0.7062,2.9984,0.9309,0.3500,0.0012
287,0.100958,0.7128,3.0089,0.9638,0.3500,0.0005
288,0.100964,0.7194,3.0193,0.9968,0.3500,0.0010
289,0.100845,0.7200,3.0298,1.0000,0.3500,0.0013
290,0.100744,0.7200,3.0402,1.0000,0.3500,0.0000
291,0.100673,0.7200,3.0507,1.0000,0.3500,0.0012
292,0.100607,0.7200,3.0612,1.0000,0.3500,0.0003
293,0.100562,0.7200,3.0716,1.0000,0.3500,0.0011
294,0.100515,0.7200,3.0821,1.0000,0.3500,0.0003
295,0.100479,0.7200,3.0925,1.0000,0.3500,0.0006
296,0.100500,0.7200,3.1030,1.0000,0.3500,0.0003
297,0.100186,0.7200,3.1135,1.0000,0.3500,0.0006
298,0.099938,0.7200,3.1239,1.0000,0.3500,0.0212
299,0.099923,0.7200,3.1344,1.0000,0.3500,0.0005
300,0.099905,0.7200,3.1448,1.0000,0.3500,0.0000
301,0.100083,0.7200,3.1553,1.0000,0.3500,0.0008
302,0.100232,0.7200,3.1657,1.0000,0.3500,0.0003
303,0.100350,0.7200,3.1762,1.0000,0.3500,0.0002
304,0.100390,0.7200,3.1867,1.0000,0.3500,0.0004
