step,phi,danger,depth,current_norm,chemical,pe
137,0.116466,0.2688,9.9995,0.4776,0.1000,0.0000
138,0.116973,0.2666,9.9995,0.4732,0.1000,0.0000
139,0.117472,0.2644,9.9995,0.4688,0.1000,0.0000
140,0.117965,0.2622,9.9995,0.4643,0.1000,0.0000
141,0.118451,0.2599,9.9995,0.4598,0.1000,0.0000
142,0.118933,0.2576,9.9995,0.4552,0.1000,0.0000
143,0.119411,0.2553,9.9995,0.4505,0.1000,0.0000
144,0.119887,0.2529,9.9995,0.4458,0.1000,0.0000
145,0.120361,0.2505,9.9995,0.4411,0.1000,0.0000
146,0.120832,0.2481,9.9995,0.4363,0.1000,0.0000
147,0.121301,0.2457,9.9995,0.4315,0.1000,0.0000
148,0.121769,0.2433,9.9995,0.4266,0.1000,0.0000
149,0.122235,0.2408,9.9995,0.4217,0.1000,0.0000
150,0.122701,0.2384,9.9995,0.4167,0.1000,0.0000
151,0.123166,0.2359,9.9994,0.4117,0.1000,0.0000
152,0.123631,0.2333,9.9994,0.4067,0.1000,0.0000
153,0.124096,0.2308,9.9994,0.4016,0.1000,0.0000
154,0.124561,0.2283,9.9994,0.3965,0.1000,0.0000
155,0.125026,0.2257,9.9994,0.3914,0.1000,0.0000
156,0.125491,0.2231,9.9994,0.3862,0.1000,0.0000
157,0.125957,0.2205,9.9994,0.3811,0.1000,0.0000
158,0.126423,0.2179,9.9994,0.3758,0.1000,0.0000
159,0.126890,0.2153,9.9994,0.3706,0.1000,0.0000
160,0.127357,0.2127,9.9994,0.3653,0.1000,0.0000
161,0.127825,0.2100,9.9994,0.3601,0.1000,0.0000
162,0.128294,0.2074,9.9994,0.3548,0.1000,0.0000
163,0.128763,0.2047,9.9994,0.3495,0.1000,0.0000
164,0.129233,0.2021,9.9993,0.3441,0.1000,0.0000
165,0.129703,0.1994,9.9993,0.3388,0.1000,0.0000
166,0.130175,0.1967,9.9993,0.3334,0.1000,0.0000
167,0.130194,0.1940,9.9993,0.3280,0.1000,0.0000
168,0.130213,0.1913,9.9993,0.3227,0.1000,0.0000
169,0.130232,0.1886,9.9993,0.3173,0.1000,0.0000
170,0.130252,0.1859,9.9993,0.3119,0.1000,0.0004
171,0.130267,0.1832,9.9993,0.3065,0.1000,0.0000
172,0.130292,0.1805,9.9993,0.3011,0.1000,0.0000
173,0.130311,0.1778,9.9993,0.2957,0.1000,0.0000
174,0.130330,0.1751,9.9993,0.2903,0.1000,0.0000
175,0.130349,0.1724,9.9993,0.2849,0.1000,0.0000
176,0.130368,0.1697,9.9993,0.2795,0.1000,0.0000
177,0.130387,0.1671,9.9992,0.2741,0.1000,0.0000
178,0.130405,0.1644,9.9992,0.2687,0.1000,0.0000
179,0.130424,0.1617,9.9992,0.2634,0.1000,0.0000
180,0.130442,0.1590,9.9992,0.2580,0.1000,0.0000
181,0.130461,0.1563,9.9992,0.2527,0.1000,0.0000
182,0.130479,0.1537,9.9992,0.2474,0.1000,0.0000
183,0.130496,0.1510,9.9992,0.2420,0.1000,0.0000
184,0.130514,0.1484,9.9992,0.2368,0.1000,0.0000
185,0.130532,0.1457,9.9992,0.2315,0.1000,0.0000
186,0.130549,0.1431,9.9992,0.2262,0.1000,0.0000
187,0.130566,0.1405,9.9992,0.2210,0.1000,0.0000
188,0.130582,0.1379,9.9992,0.2158,0.1000,0.0000
189,0.130599,0.1353,9.9991,0.2107,0.1000,0.0000
190,0.130615,0.1328,9.9991,0.2055,0.1000,0.0000
191,0.130631,0.1302,9.9991,0.2004,0.1000,0.0000
192,0.130646,0.1277,9.9991,0.1953,0.1000,0.0000
193,0.130661,0.1251,9.9991,0.1903,0.1000,0.0000
194,0.130676,0.1226,9.9991,0.1853,0.1000,0.0000
195,0.130691,0.1202,9.9991,0.1803,0.1000,0.0000
196,0.130705,0.1177,9.9991,0.1754,0.1000,0.0000
197,0.130719,0.1152,9.9991,0.1705,0.1000,0.0000
198,0.130733,0.1128,9.9991,0.1656,0.1000,0.0000
199,0.130747,0.1104,9.9991,0.1608,0.1000,0.0000
200,0.130760,0.1080,9.9990,0.1561,0.1000,0.0000
201,0.130772,0.1057,9.9990,0.1514,0.1000,0.0000
202,0.130785,0.1033,9.9990,0.1467,0.1000,0.0000
203,0.130797,0.1010,9.9990,0.1421,0.1000,0.0000
