# Φ-trace trial_0: t,human_dist,pe,danger,phi,gain
TRACE,5.160,2.894,0.0000,0.0000,0.1311,1.0000
TRACE,5.200,2.879,0.0000,0.0000,0.1311,1.0000
TRACE,5.240,2.863,0.0000,0.0000,0.1311,1.0000
TRACE,5.280,2.846,0.0000,0.0000,0.1311,1.0000
TRACE,5.320,2.827,0.0000,0.0000,0.1312,1.0000
TRACE,5.360,2.807,0.0000,0.0000,0.1312,1.0000
TRACE,5.400,2.785,0.0000,0.0000,0.1312,1.0000
TRACE,5.440,2.763,0.0000,0.0000,0.1312,1.0000
TRACE,5.480,2.739,0.0000,0.0000,0.1312,1.0000
TRACE,5.520,2.713,0.0000,0.0000,0.1312,1.0000
TRACE,5.560,2.686,0.0000,0.0000,0.1312,1.0000
TRACE,5.600,2.658,0.0000,0.0000,0.1312,1.0000
TRACE,5.640,2.629,0.0000,0.0000,0.1312,1.0000
TRACE,5.680,2.599,0.0000,0.0000,0.1312,1.0000
TRACE,5.720,2.568,0.0000,0.0000,0.1312,1.0000
TRACE,5.760,2.535,0.0000,0.0000,0.1312,1.0000
TRACE,5.800,2.502,0.0000,0.0000,0.1312,1.0000
TRACE,5.840,2.467,0.0000,0.0000,0.1312,1.0000
TRACE,5.880,2.432,0.0000,0.0000,0.1312,1.0000
TRACE,5.920,2.395,0.0000,0.0000,0.1312,1.0000
TRACE,5.960,2.358,0.0000,0.0000,0.1311,1.0000
TRACE,6.000,2.319,0.0000,0.0000,0.1311,1.0000
TRACE,6.040,2.280,0.0000,0.0000,0.1311,1.0000
TRACE,6.080,2.241,0.0000,0.0000,0.1311,1.0000
TRACE,6.120,2.200,0.0000,0.0000,0.1312,1.0000
TRACE,6.160,2.159,0.0000,0.0000,0.1312,1.0000
TRACE,6.200,2.117,0.0000,0.0000,0.1312,1.0000
TRACE,6.240,2.075,0.0000,0.0000,0.1312,1.0000
TRACE,6.280,2.032,0.0000,0.0000,0.1311,1.0000
TRACE,6.320,1.988,0.0000,0.0059,0.1314,1.0000
TRACE,6.360,1.944,0.0000,0.0278,0.1313,1.0000
TRACE,6.400,1.900,0.0000,0.0499,0.1313,1.0000
TRACE,6.440,1.856,0.0000,0.0722,0.1313,1.0000
TRACE,6.480,1.811,0.0000,0.0946,0.1313,1.0000
TRACE,6.520,1.766,0.0000,0.1172,0.1312,1.0000
TRACE,6.560,1.720,0.0000,0.1398,0.1312,1.0000
TRACE,6.600,1.675,0.0000,0.1625,0.1311,1.0000
TRACE,6.640,1.630,0.0000,0.1852,0.1310,1.0000
TRACE,6.680,1.584,0.0000,0.2080,0.1308,1.0000
TRACE,6.720,1.539,0.0000,0.2307,0.1307,1.0000
TRACE,6.760,1.493,0.0000,0.2534,0.1306,1.0000
TRACE,6.800,1.448,0.0000,0.2760,0.1305,1.0000
TRACE,6.840,1.403,0.0000,0.2986,0.1304,1.0000
TRACE,6.880,1.358,0.0000,0.3210,0.1303,1.0000
TRACE,6.920,1.313,0.0000,0.3433,0.1302,1.0000
TRACE,6.960,1.269,0.0000,0.3654,0.1301,1.0000
TRACE,7.000,1.225,0.0000,0.3873,0.1300,1.0000
TRACE,7.040,1.182,0.0000,0.4091,0.1298,1.0000
TRACE,7.080,1.139,0.0000,0.4305,0.1297,1.0000
TRACE,7.120,1.097,0.0000,0.4517,0.1296,1.0000
TRACE,7.160,1.055,0.0000,0.4726,0.1295,1.0000
TRACE,7.200,1.014,0.0000,0.4932,0.1293,1.0000
TRACE,7.240,0.973,0.0000,0.5135,0.1281,1.0000
TRACE,7.280,0.933,0.0000,0.5334,0.1268,1.0000
TRACE,7.320,0.894,0.0000,0.5529,0.1256,1.0000
TRACE,7.360,0.856,0.0000,0.5720,0.1243,0.3000
TRACE,7.400,0.819,0.0011,0.5907,0.1233,0.3000
TRACE,7.440,0.782,0.0030,0.6089,0.1220,0.3000
TRACE,7.480,0.747,0.0000,0.6267,0.1206,0.3000
TRACE,7.520,0.712,0.0037,0.6440,0.1193,0.3000
TRACE,7.560,0.679,0.0005,0.6607,0.1180,0.3000
TRACE,7.600,0.646,0.0000,0.6770,0.1167,0.3000
TRACE,7.640,0.615,0.0000,0.6927,0.1154,0.3000
TRACE,7.680,0.584,0.0000,0.7078,0.1140,0.3000
TRACE,7.720,0.555,0.0000,0.7223,0.1128,0.3000
TRACE,7.760,0.527,0.0000,0.7363,0.1115,0.3000
TRACE,7.800,0.501,0.0000,0.7496,0.1100,0.3000
TRACE,7.840,0.475,0.0000,0.7623,0.1084,0.3000
TRACE,7.880,0.451,0.0000,0.7744,0.1066,0.3000
TRACE,7.920,0.428,0.0000,0.7858,0.1047,0.3000
TRACE,7.960,0.407,0.0000,0.7965,0.1024,0.3000
TRACE,8.000,0.387,0.0000,0.8066,0.0999,0.3000
TRACE,8.040,0.368,0.0000,0.8159,0.0996,0.3000
TRACE,8.080,0.351,0.0000,0.8246,0.0993,0.3000
TRACE,8.120,0.335,0.0000,0.8325,0.0991,0.3000
TRACE,8.160,0.321,0.0000,0.8397,0.0992,0.3000
TRACE,8.200,0.308,0.0000,0.8462,0.0993,0.3000
TRACE,8.240,0.296,0.0000,0.8520,0.0994,0.3000
TRACE,8.280,0.286,0.0000,0.8570,0.0991,0.3000
TRACE,8.320,0.278,0.0000,0.8612,0.0988,0.3000
TRACE,8.360,0.271,0.0000,0.8647,0.0990,0.3000
TRACE,8.400,0.265,0.0000,0.8674,0.0987,0.3000
TRACE,8.440,0.261,0.0000,0.8694,0.0990,0.3000
TRACE,8.480,0.259,0.0000,0.8706,0.0987,0.3000
TRACE,8.520,0.258,0.0000,0.8710,0.0988,0.3000
TRACE,8.560,0.259,0.0000,0.8707,0.0989,0.3000
TRACE,8.600,0.261,0.0000,0.8696,0.0987,0.3000
TRACE,8.640,0.265,0.0000,0.8677,0.0990,0.3000
TRACE,8.680,0.270,0.0035,0.8651,0.0988,0.3000
TRACE,8.720,0.277,0.0000,0.8617,0.0990,0.3000
TRACE,8.760,0.285,0.0000,0.8576,0.0991,0.3000
TRACE,8.800,0.295,0.0000,0.8527,0.0991,0.3000
TRACE,8.840,0.306,0.0000,0.8470,0.0992,0.3000
TRACE,8.880,0.319,0.0008,0.8407,0.0992,0.3000
TRACE,8.920,0.333,0.0000,0.8336,0.0992,0.3000
TRACE,8.960,0.349,0.0000,0.8257,0.0993,0.3000
TRACE,9.000,0.366,0.0000,0.8172,0.0994,0.3000
TRACE,9.040,0.384,0.0000,0.8079,0.0994,0.3000
TRACE,9.080,0.404,0.0000,0.7979,0.0995,0.3000
TRACE,9.120,0.425,0.0000,0.7873,0.0996,0.3000
TRACE,9.160,0.448,0.0015,0.7760,0.0997,0.3000
TRACE,9.200,0.472,0.0000,0.7640,0.0998,0.3000
TRACE,9.240,0.497,0.0011,0.7514,0.0999,0.3000
TRACE,9.280,0.524,0.0000,0.7382,0.0999,0.3000
TRACE,9.320,0.551,0.0000,0.7243,0.1000,0.3000
TRACE,9.360,0.580,0.0000,0.7098,0.1001,0.3000
TRACE,9.400,0.610,0.0000,0.6948,0.1002,0.3000
TRACE,9.440,0.642,0.0017,0.6792,0.1003,0.3000
TRACE,9.480,0.674,0.0000,0.6630,0.1004,0.3000
TRACE,9.520,0.707,0.0000,0.6463,0.1005,0.3000
TRACE,9.560,0.742,0.0000,0.6291,0.1006,0.3000
TRACE,9.600,0.777,0.0000,0.6114,0.1007,0.3000
TRACE,9.640,0.814,0.0000,0.5932,0.1008,0.3000
