step,phi,danger
371,0.116608,0.3066
372,0.117014,0.3214
373,0.117366,0.3382
374,0.117660,0.3568
375,0.117890,0.3768
376,0.118054,0.3981
377,0.118153,0.4202
378,0.118275,0.4430
379,0.118391,0.4660
380,0.118535,0.4891
381,0.117187,0.5117
382,0.115992,0.5338
383,0.114924,0.5548
384,0.113890,0.5746
385,0.112797,0.5928
386,0.111584,0.6092
387,0.110214,0.6237
388,0.108661,0.6359
389,0.106898,0.6457
390,0.104893,0.6530
391,0.102606,0.6577
392,0.099987,0.6597
393,0.099872,0.6591
394,0.099733,0.6558
395,0.099573,0.6499
396,0.099546,0.6414
397,0.099536,0.6306
398,0.099482,0.6176
399,0.099380,0.6025
400,0.099239,0.5856
401,0.099093,0.5672
402,0.099024,0.5475
403,0.099136,0.5269
404,0.099437,0.5055
405,0.100882,0.4838
406,0.102292,0.4621
407,0.103623,0.4406
408,0.104857,0.4198
409,0.105993,0.3998
410,0.107035,0.3810
411,0.107990,0.3637
412,0.108863,0.3482
413,0.109662,0.3346
414,0.110392,0.3231
415,0.111078,0.3140
416,0.111714,0.3074
417,0.112285,0.3034
418,0.112795,0.3019
419,0.113249,0.3032
420,0.113650,0.3071
421,0.114014,0.3136
422,0.114492,0.3226
423,0.114922,0.3339
424,0.115296,0.3476
425,0.115610,0.3632
426,0.115864,0.3807
427,0.116063,0.3997
428,0.116230,0.4200
429,0.116411,0.4413
430,0.116680,0.4633
431,0.117102,0.4858
432,0.116042,0.5082
433,0.115023,0.5305
434,0.113953,0.5521
435,0.112774,0.5729
436,0.111451,0.5925
437,0.109961,0.6107
438,0.108285,0.6271
439,0.106396,0.6415
440,0.104263,0.6538
441,0.101858,0.6638
442,0.099752,0.6713
443,0.099668,0.6762
444,0.099560,0.6784
445,0.099427,0.6779
446,0.099266,0.6748
447,0.099086,0.6690
448,0.098899,0.6606
449,0.098782,0.6498
450,0.098731,0.6367
451,0.098751,0.6215
452,0.098862,0.6044
453,0.099060,0.5857
454,0.099317,0.5655
455,0.099595,0.5443
456,0.099873,0.5223
457,0.101197,0.4998
458,0.102455,0.4771
459,0.103664,0.4547
460,0.104873,0.4326
461,0.106010,0.4114
462,0.107071,0.3913
463,0.108055,0.3725
464,0.108965,0.3554
465,0.109800,0.3401
466,0.110563,0.3270
467,0.111257,0.3161
468,0.111887,0.3077
469,0.112455,0.3018
470,0.112966,0.2985
471,0.113425,0.2979
472,0.113834,0.2999
473,0.114203,0.3046
474,0.114627,0.3118
475,0.115072,0.3214
476,0.115480,0.3334
477,0.115849,0.3474
478,0.116186,0.3634
479,0.116501,0.3810
480,0.116809,0.4000
481,0.117123,0.4202
482,0.117453,0.4411
483,0.117801,0.4626
484,0.118159,0.4843
485,0.116897,0.5058
486,0.115597,0.5269
487,0.114324,0.5473
488,0.113011,0.5665
489,0.111611,0.5844
490,0.110103,0.6008
491,0.108465,0.6152
492,0.106670,0.6276
493,0.104686,0.6377
494,0.102469,0.6454
495,0.099967,0.6505
496,0.099398,0.6530
497,0.099368,0.6529
498,0.099343,0.6500
499,0.099323,0.6446
500,0.099305,0.6365
501,0.099390,0.6259
502,0.099480,0.6131
503,0.099566,0.5980
504,0.099651,0.5811
505,0.099738,0.5624
506,0.099939,0.5422
507,0.100157,0.5208
508,0.101452,0.4986
509,0.102712,0.4758
510,0.103935,0.4527
511,0.105114,0.4298
512,0.106241,0.4071
513,0.107305,0.3852
514,0.108302,0.3643
515,0.109228,0.3447
516,0.110083,0.3267
517,0.110867,0.3105
518,0.111586,0.2963
519,0.112244,0.2843
520,0.112844,0.2748
521,0.113392,0.2678
522,0.113892,0.2634
523,0.114347,0.2617
524,0.114760,0.2626
525,0.115137,0.2662
526,0.115573,0.2725
527,0.116054,0.2812
528,0.116499,0.2923
529,0.116908,0.3056
530,0.117279,0.3209
531,0.117633,0.3380
532,0.117997,0.3566
533,0.118338,0.3765
534,0.118661,0.3973
535,0.118973,0.4188
536,0.119282,0.4405
537,0.119602,0.4623
538,0.119944,0.4838
539,0.118718,0.5047
540,0.117510,0.5246
541,0.116304,0.5433
542,0.115074,0.5605
543,0.113790,0.5760
544,0.112421,0.5894
545,0.110938,0.6007
546,0.109313,0.6097
547,0.107515,0.6161
548,0.105509,0.6200
549,0.103256,0.6213
550,0.100709,0.6198
551,0.099502,0.6158
