step,phi,danger
532,0.099242,0.6148
533,0.099284,0.6064
534,0.099330,0.5941
535,0.099372,0.5783
536,0.099412,0.5593
537,0.099504,0.5377
538,0.099623,0.5142
539,0.100808,0.4894
540,0.101960,0.4641
541,0.103081,0.4388
542,0.104163,0.4144
543,0.105194,0.3915
544,0.106160,0.3707
545,0.107052,0.3524
546,0.107863,0.3371
547,0.108591,0.3251
548,0.109236,0.3167
549,0.109800,0.3118
550,0.110289,0.3105
551,0.110707,0.3127
552,0.111128,0.3183
553,0.111610,0.3268
554,0.112063,0.3381
555,0.112525,0.3518
556,0.113029,0.3674
557,0.113592,0.3846
558,0.114219,0.4028
559,0.114889,0.4217
560,0.115570,0.4408
561,0.116228,0.4597
562,0.116841,0.4780
563,0.117394,0.4953
564,0.116212,0.5112
565,0.114937,0.5253
566,0.113558,0.5374
567,0.112101,0.5472
568,0.110567,0.5544
569,0.108869,0.5588
570,0.106973,0.5604
571,0.104841,0.5589
572,0.102514,0.5545
573,0.099907,0.5471
574,0.099811,0.5368
575,0.099701,0.5240
576,0.099596,0.5089
577,0.100632,0.4919
578,0.101694,0.4734
579,0.102779,0.4539
580,0.103878,0.4341
581,0.104961,0.4144
582,0.105998,0.3955
583,0.106968,0.3780
584,0.107855,0.3624
585,0.108656,0.3492
586,0.109367,0.3390
587,0.109991,0.3319
588,0.110530,0.3284
589,0.110989,0.3284
590,0.111373,0.3321
591,0.111697,0.3393
592,0.112112,0.3497
593,0.112510,0.3630
594,0.112912,0.3789
595,0.113345,0.3967
596,0.113849,0.4160
597,0.114445,0.4361
598,0.115117,0.4563
599,0.115822,0.4762
600,0.116518,0.4951
601,0.115487,0.5125
602,0.114358,0.5280
603,0.113110,0.5410
604,0.111727,0.5514
605,0.110188,0.5589
606,0.108467,0.5633
607,0.106535,0.5646
608,0.104415,0.5628
609,0.102018,0.5580
610,0.100388,0.5504
611,0.100326,0.5401
612,0.100341,0.5275
613,0.100362,0.5129
614,0.101435,0.4964
615,0.102476,0.4787
616,0.103521,0.4599
617,0.104528,0.4406
618,0.105510,0.4212
619,0.106470,0.4019
620,0.107401,0.3834
621,0.108293,0.3661
622,0.109135,0.3503
623,0.109916,0.3365
624,0.110632,0.3250
625,0.111279,0.3163
626,0.111857,0.3106
627,0.112370,0.3083
628,0.112822,0.3094
629,0.113214,0.3141
630,0.113549,0.3224
631,0.113964,0.3342
632,0.114376,0.3493
633,0.114738,0.3675
634,0.115058,0.3883
635,0.115354,0.4113
636,0.115652,0.4358
637,0.115983,0.4612
638,0.116400,0.4869
639,0.115252,0.5121
640,0.114098,0.5362
641,0.112893,0.5584
642,0.111594,0.5781
643,0.110169,0.5947
644,0.108586,0.6078
645,0.106828,0.6169
646,0.104922,0.6219
647,0.102739,0.6225
648,0.100219,0.6189
649,0.100230,0.6111
650,0.100263,0.5994
651,0.100352,0.5841
652,0.100428,0.5657
653,0.100484,0.5447
654,0.100526,0.5216
655,0.101628,0.4972
656,0.102673,0.4719
657,0.103708,0.4465
658,0.104755,0.4215
659,0.105771,0.3975
660,0.106750,0.3750
661,0.107683,0.3545
662,0.108561,0.3365
663,0.109375,0.3211
664,0.110122,0.3088
665,0.110801,0.2998
666,0.111414,0.2942
667,0.111966,0.2921
668,0.112465,0.2935
669,0.112915,0.2984
670,0.113436,0.3067
671,0.113995,0.3182
672,0.114528,0.3328
673,0.115044,0.3502
674,0.115544,0.3700
675,0.116029,0.3918
676,0.116500,0.4153
677,0.116951,0.4398
678,0.117380,0.4648
679,0.117781,0.4898
680,0.116473,0.5141
681,0.115094,0.5372
682,0.113632,0.5584
683,0.112072,0.5772
684,0.110396,0.5930
685,0.108585,0.6055
686,0.106625,0.6141
687,0.104573,0.6187
688,0.102277,0.6191
689,0.099731,0.6152
690,0.099794,0.6072
691,0.099869,0.5953
692,0.099951,0.5797
693,0.100040,0.5609
694,0.100183,0.5395
695,0.100359,0.5161
696,0.101605,0.4914
697,0.102797,0.4661
698,0.103933,0.4408
699,0.105010,0.4163
700,0.106021,0.3933
701,0.106964,0.3722
702,0.107834,0.3538
703,0.108631,0.3382
704,0.109356,0.3260
705,0.110012,0.3172
706,0.110604,0.3121
707,0.111139,0.3105
708,0.111622,0.3124
709,0.112114,0.3177
710,0.112699,0.3260
711,0.113261,0.3371
712,0.113819,0.3506
713,0.114387,0.3661
714,0.114956,0.3832
715,0.115526,0.4013
716,0.116092,0.4202
717,0.116644,0.4393
718,0.117172,0.4582
719,0.117666,0.4766
720,0.118121,0.4939
721,0.116856,0.5099
722,0.115514,0.5243
723,0.114083,0.5365
724,0.112578,0.5465
725,0.111033,0.5539
726,0.109339,0.5586
727,0.107459,0.5604
728,0.105355,0.5592
729,0.103053,0.5549
730,0.100487,0.5478
731,0.100467,0.5377
732,0.100441,0.5251
733,0.100419,0.5102
734,0.101529,0.4933
735,0.102632,0.4749
736,0.103703,0.4555
737,0.104743,0.4356
738,0.105749,0.4159
739,0.106707,0.3969
740,0.107606,0.3793
741,0.108438,0.3635
742,0.109199,0.3502
743,0.109884,0.3397
744,0.110495,0.3324
745,0.111035,0.3285
746,0.111507,0.3283
747,0.111917,0.3317
748,0.112276,0.3386
749,0.112733,0.3487
750,0.113196,0.3619
751,0.113657,0.3775
752,0.114129,0.3952
753,0.114630,0.4144
754,0.115173,0.4344
755,0.115755,0.4547
756,0.116361,0.4747
757,0.116967,0.4937
758,0.115860,0.5112
759,0.114673,0.5268
760,0.113383,0.5401
