step,phi,danger
471,0.123393,0.0902
472,0.123802,0.0912
473,0.124224,0.0930
474,0.124657,0.0958
475,0.125080,0.0995
476,0.125496,0.1040
477,0.125903,0.1094
478,0.126302,0.1157
479,0.126692,0.1228
480,0.127074,0.1307
481,0.127447,0.1394
482,0.127812,0.1489
483,0.128167,0.1591
484,0.128515,0.1701
485,0.128856,0.1818
486,0.129190,0.1941
487,0.129068,0.2071
488,0.128941,0.2206
489,0.128811,0.2348
490,0.128682,0.2495
491,0.128556,0.2647
492,0.128436,0.2803
493,0.128326,0.2964
494,0.128228,0.3129
495,0.128146,0.3297
496,0.128082,0.3468
497,0.128036,0.3642
498,0.128007,0.3817
499,0.127993,0.3995
500,0.127992,0.4174
501,0.128000,0.4353
502,0.128012,0.4533
503,0.128024,0.4713
504,0.128033,0.4893
505,0.126905,0.5071
506,0.125772,0.5248
507,0.124633,0.5423
508,0.123488,0.5596
509,0.122334,0.5766
510,0.121171,0.5933
511,0.119997,0.6096
512,0.118809,0.6255
513,0.117604,0.6410
514,0.116376,0.6560
515,0.115117,0.6705
516,0.113818,0.6845
517,0.112466,0.6978
518,0.111042,0.7106
519,0.109526,0.7226
520,0.107890,0.7341
521,0.106102,0.7448
522,0.104119,0.7547
523,0.101894,0.7639
524,0.099370,0.7723
525,0.099319,0.7799
526,0.099270,0.7867
527,0.099224,0.7927
528,0.099182,0.7978
529,0.099143,0.8020
530,0.099107,0.8053
531,0.099076,0.8078
532,0.099048,0.8093
533,0.099024,0.8100
534,0.099003,0.8097
535,0.098987,0.8086
536,0.098974,0.8066
537,0.098986,0.8036
538,0.099009,0.7998
539,0.099035,0.7951
540,0.099065,0.7896
541,0.099097,0.7832
542,0.099131,0.7759
543,0.099167,0.7679
544,0.099204,0.7591
545,0.099242,0.7494
546,0.099284,0.7391
547,0.099331,0.7280
548,0.099379,0.7162
549,0.099427,0.7038
550,0.099475,0.6907
551,0.099521,0.6770
552,0.099566,0.6628
553,0.099610,0.6480
554,0.099653,0.6327
555,0.099695,0.6170
556,0.099737,0.6008
557,0.099779,0.5843
558,0.099822,0.5675
559,0.099868,0.5503
560,0.099918,0.5329
561,0.099974,0.5153
562,0.101091,0.4975
563,0.102162,0.4796
564,0.103193,0.4616
565,0.104186,0.4436
566,0.105147,0.4257
567,0.106079,0.4077
568,0.106983,0.3899
569,0.107860,0.3723
570,0.108713,0.3548
571,0.109540,0.3376
572,0.110343,0.3206
573,0.111121,0.3040
574,0.111875,0.2877
575,0.112605,0.2719
576,0.113311,0.2564
577,0.113994,0.2415
578,0.114654,0.2271
579,0.115293,0.2133
580,0.115911,0.2000
581,0.116509,0.1874
582,0.117088,0.1754
583,0.117649,0.1641
584,0.118192,0.1535
585,0.118720,0.1437
586,0.119232,0.1346
